date,Ano,Ne
2022-11-26,15.0,1.0
2022-11-27,15.0,1.0
2022-11-28,20.0,1.0
2022-11-29,20.0,1.0
2022-11-30,20.0,1.0
2022-12-01,20.0,1.0
2022-12-02,20.0,1.0
2022-12-05,23.0,1.0
2022-12-06,23.0,1.0
2022-12-07,23.0,1.0
2022-12-08,23.0,1.0
2022-12-09,21.5,1.0
2022-12-10,20.0,1.0
2022-12-11,20.0,1.0
2022-12-12,20.0,1.0
2022-12-13,20.0,1.0
2022-12-14,20.0,1.0
2022-12-15,20.0,1.0
2022-12-16,20.0,1.0
2022-12-17,20.0,1.0
2022-12-18,20.0,1.0
2022-12-19,20.0,1.0
2022-12-20,20.0,1.0
2022-12-21,23.5,1.0
2022-12-22,27.0,1.0
2022-12-23,27.0,1.0
2022-12-24,27.0,1.0
2022-12-25,27.0,1.0
2022-12-26,27.0,1.0
2022-12-27,27.0,1.0
2022-12-28,27.0,1.0
2022-12-29,27.0,1.0
2022-12-30,27.0,1.0
2022-12-31,27.0,1.0
2023-01-01,27.0,1.0
2023-01-02,27.0,1.0
2023-01-03,27.0,1.0
2023-01-04,27.0,1.0
2023-01-05,27.0,1.0
2023-01-06,30.0,1.0
2023-01-07,33.0,1.0
2023-01-08,33.0,1.0
2023-01-09,40.0,1.0
2023-01-10,40.0,1.0
2023-01-11,40.0,1.0
2023-01-12,40.0,1.0
2023-01-13,40.0,1.0
