date,Ano,Ne
2022-11-27,11.0,1.0
2022-11-28,11.0,1.0
2022-11-29,11.5,1.0
2022-11-30,12.0,1.0
2022-12-01,12.0,1.0
2022-12-02,12.0,1.0
2022-12-05,14.0,1.0
2022-12-06,14.0,1.0
2022-12-07,14.0,1.0
2022-12-08,14.0,1.0
2022-12-09,14.0,1.0
2022-12-10,14.0,1.0
2022-12-11,14.0,1.0
2022-12-12,14.0,1.0
2022-12-13,14.0,1.0
2022-12-14,14.0,1.0
2022-12-15,14.0,1.0
2022-12-16,14.0,1.0
2022-12-17,14.0,1.0
2022-12-18,16.0,1.0
2022-12-19,22.0,1.0
2022-12-20,30.0,1.0
2022-12-21,30.0,1.0
2022-12-22,30.0,1.0
2022-12-23,30.0,1.0
2022-12-24,30.0,1.0
2022-12-25,30.0,1.0
2022-12-26,30.0,1.0
2022-12-27,30.0,1.0
2022-12-28,30.0,1.0
2022-12-29,30.0,1.0
2022-12-30,30.0,1.0
2022-12-31,30.0,1.0
