date,Ano,Ne
2022-11-27,12.0,1.0
2022-11-28,12.0,1.0
2022-11-29,12.5,1.0
2022-11-30,13.0,1.0
2022-12-01,13.0,1.0
2022-12-02,13.0,1.0
2022-12-05,16.0,1.0
2022-12-06,16.0,1.0
2022-12-07,16.0,1.0
2022-12-08,16.0,1.0
2022-12-09,16.0,1.0
2022-12-10,16.0,1.0
2022-12-11,16.0,1.0
2022-12-12,16.0,1.0
2022-12-13,16.0,1.0
2022-12-14,16.0,1.0
2022-12-15,16.0,1.0
2022-12-16,16.0,1.0
2022-12-17,16.0,1.0
2022-12-18,16.0,1.0
2022-12-19,22.0,1.0
2022-12-20,30.0,1.0
2022-12-21,30.0,1.0
2022-12-22,32.0,1.0
2022-12-23,32.0,1.0
2022-12-24,32.0,1.0
