date,id,name,event_name,selection_id,odd
2026-09-23,2717957242,Mičega Miloš,Vítěz,25-WINNER_NWAY-a,2.55
2026-09-23,2717957241,Forgáč Ján,Vítěz,25-WINNER_NWAY-a,1.4
2026-09-23,2717957240,Bratranec Michal,Vítěz,25-WINNER_NWAY-a,12.0
2026-09-23,2717957239,Birošová Danica,Vítěz,25-WINNER_NWAY-a,11.0
2026-09-22,2717957242,Mičega Miloš,Vítěz,25-WINNER_NWAY-a,2.55
2026-09-22,2717957241,Forgáč Ján,Vítěz,25-WINNER_NWAY-a,1.4
2026-09-22,2717957240,Bratranec Michal,Vítěz,25-WINNER_NWAY-a,12.0
2026-09-22,2717957239,Birošová Danica,Vítěz,25-WINNER_NWAY-a,11.0
2026-09-21,2717957242,Mičega Miloš,Vítěz,25-WINNER_NWAY-a,2.55
2026-09-21,2717957241,Forgáč Ján,Vítěz,25-WINNER_NWAY-a,1.4
2026-09-21,2717957240,Bratranec Michal,Vítěz,25-WINNER_NWAY-a,12.0
2026-09-21,2717957239,Birošová Danica,Vítěz,25-WINNER_NWAY-a,11.0
2026-09-20,2717957242,Mičega Miloš,Vítěz,25-WINNER_NWAY-a,2.55
2026-09-20,2717957241,Forgáč Ján,Vítěz,25-WINNER_NWAY-a,1.3999999999999997
2026-09-20,2717957240,Bratranec Michal,Vítěz,25-WINNER_NWAY-a,12.0
2026-09-20,2717957239,Birošová Danica,Vítěz,25-WINNER_NWAY-a,11.0
2026-09-19,2717957242,Mičega Miloš,Vítěz,25-WINNER_NWAY-a,2.55
2026-09-19,2717957241,Forgáč Ján,Vítěz,25-WINNER_NWAY-a,1.3999999999999997
2026-09-19,2717957240,Bratranec Michal,Vítěz,25-WINNER_NWAY-a,12.0
2026-09-19,2717957239,Birošová Danica,Vítěz,25-WINNER_NWAY-a,11.0
2026-09-18,2717957242,Mičega Miloš,Vítěz,25-WINNER_NWAY-a,2.55
2026-09-18,2717957241,Forgáč Ján,Vítěz,25-WINNER_NWAY-a,1.3999999999999997
2026-09-18,2717957240,Bratranec Michal,Vítěz,25-WINNER_NWAY-a,12.0
2026-09-18,2717957239,Birošová Danica,Vítěz,25-WINNER_NWAY-a,11.0
2026-09-17,2717957240,Bratranec Michal,Vítěz,25-WINNER_NWAY-a,12.0
2026-09-17,2717957242,Mičega Miloš,Vítěz,25-WINNER_NWAY-a,2.55
2026-09-17,2717957241,Forgáč Ján,Vítěz,25-WINNER_NWAY-a,1.4
2026-09-17,2717957239,Birošová Danica,Vítěz,25-WINNER_NWAY-a,11.0
